target_tweet,authentic_reply,STANCE,ACTION,PERSONALNESS,POLITENESS
">mikepompeo: Blind justice, with no favor based on political party, is one of our most important Founding principles.

The Biden Administration has turned this on its head.","@mikepompeo Mike, you are irrelevant to true Americans because you are un-American.",OPPOSE,STATEMENT,GENERAL,RUDE
">TheRickWilson: How’s your night, @realDonaldTrump?",@TheRickWilson @realDonaldTrump Time for a diaper change!,NEUTRAL,STATEMENT,GENERAL,RUDE
>dogeofficialceo: Ðoge,@dogeofficialceo I agree,SUPPORT,STATEMENT,GENERAL,POLITE
">MarshaBlackburn: Schools should educate our kids, not indoctrinate them.",@MarshaBlackburn Schools should not be shooting ranges or churches.,OPPOSE,STATEMENT,GENERAL,NORMAL
">theliamnissan: I changed my named to ""Lame Nissan"" and the Republicans 𝒔𝒕𝒊𝒍𝒍 think I'm Liam Neeson. I am out of ideas, folks","@theliamnissan @mikkadu Try ""Hunter Nissan.""",SUPPORT,COMMAND,GENERAL,POLITE
>judytgolf: Do you think the Republican Party is dying or their weak chicken 🐔 sh*t?,@judytgolf I'll take weak chicken sh*t for $500,SUPPORT,STATEMENT,GENERAL,NORMAL
">SenRonJohnson: Take time to listen to President Eisenhower’s 15-minute-long farewell address. 

Here are 4 clips of what he warned us about that have all come true. Amazingly prescient.",@SenRonJohnson Senator Russia Johnson says what?,OPPOSE,QUESTION,GENERAL,NORMAL
">RepRiggleman: As we await the indictment announcement, maybe I can provide some controversy.

I don’t like Taylor Swift’s music. Hate it really.

Have a nice night","@RepRiggleman Haven't really listened to Taylor Swift or the Beatles yet, but I'm not ruling them out. 😹",NEUTRAL,STATEMENT,GENERAL,NORMAL
">laurenboebert: Groceries are up.
Rent is up.
Interest rates are up.
Gas is up.

The latest jobs report is down.
Real wages are down.

Welcome to Bidenomics.","@laurenboebert actually, these are the trickle-down consequences of Reagan aka Voodoo Economics.",OPPOSE,STATEMENT,GENERAL,NORMAL
">kylegriffin1: New on @MSNBC: The Trump case has been assigned to U.S. District Judge Tanya S. Chutkan.

Chutkan, an Obama appointee, is the only federal judge in Washington, D.C. who has sentenced Jan. 6 defendants to sentences longer than the government had requested.",@kylegriffin1 @MSNBC It would be better to remind people that every senator voted  for her. She's treating him like the mobster he is. Soon we’ll see him walking around Palm Beach in a bathrobe.,SUPPORT,STATEMENT,GENERAL,NORMAL
">POTUS: In my White House, labor will always be welcome.",@POTUS So will little kids. Cocaine. Staff that steals women’s luggage. Administration that can’t speak a full sentence without screwing up. Cheaters.  Liars. And criminals.,OPPOSE,STATEMENT,GENERAL,RUDE
">NASCAR: NASCAR fully supports Legacy Motor Club’s decision to suspend Noah Gragson. Following his actions on social media, NASCAR has determined that Gragson has violated the Member Conduct section of the 2023 NASCAR Rule Book and has placed him under indefinite suspension.","@NASCAR For liking a meme.  You are so pathetic. Until he's reinstated, you are indefinitely suspended from my TV.",OPPOSE,STATEMENT,GENERAL,RUDE
>ChuckGrassley: Weiss negotiated sweetheart plea deal for Hunter Biden He pulled punches/didn’t investigate as he shouldve So what did he do with the 1023? He’s had 3 years SHOW UR WORK,@ChuckGrassley Didn't you and 32 other Republicans send a letter to Garland a year ago requesting Weiss be made a special counsel?,NEUTRAL,QUESTION,GENERAL,NORMAL
">TristanSnell: Dear Justice Alito:

If you think we don’t have the power to regulate you, then we think you don’t have the power to cash your paychecks. See generally U.S. Const., Art. III.

Let’s see how the Supreme Court operates without congressional funding. 

Hugs n kisses,

We the People",@TristanSnell and pray tell when is congress not going to fund the Supreme Court? I'll wait for an answer,NEUTRAL,QUESTION,GENERAL,NORMAL
>RubiRose: All it took was faith…. 🙏🏾,@RubiRose All it took was you suffocating my face 🙏,OPPOSE,STATEMENT,PERSONAL,RUDE
>JudiciaryGOP: David Weiss can’t be trusted.,"@JudiciaryGOP Duh, schedule the impeachment hearings already!",NEUTRAL,COMMAND,GENERAL,NORMAL
>Lukewearechange: What was the moment that everything started to go downhill for the DeSantis campaign?,@Lukewearechange The point of no return is when he said 2020 election wasn't rigged,NEUTRAL,STATEMENT,GENERAL,NORMAL
">POTUS: We're starting to finally make the super-wealthy pay their fair share.

And, under my economic plan, no one earning less than $400,000 a year is seeing their taxes go up a single penny.","@POTUS Weird, how did you make the rich 'pay their fair share' when you cut taxes on businesses making over one billion?

What said you, Joe?",OPPOSE,QUESTION,GENERAL,NORMAL
">inkedwifelife21: i may not be the brightest ray of sunshine 
but i’ll still burn your ass 🖤",@inkedwifelife21 🔥🔥,NEUTRAL,REACTION,GENERAL,NORMAL
">LeadingReport: BREAKING: Federal law enforcement officials have just announced that 200 victims, including 59 missing children, have been rescued during a massive, nationwide sex trafficking bust.","@LeadingReport Wait, weren’t we were just told by the media that child trafficking on a mass scale such as this was just another right-wing conspiracy theory???",OPPOSE,QUESTION,PERSONAL,NORMAL
">kylegriffin1: At least five House Democrats have called for Clarence Thomas' resignation: Reps. Ted Lieu, Pramila Jayapal, Bill Pascrell, Gerry Connolly, and Hank Johnson.",@kylegriffin1 And?,SUPPORT,QUESTION,GENERAL,NORMAL
">MZHemingway: Ruling regime is *TERRIFYING* right now, whether it's calls for violence, calls to remove people from ballots, efforts to imprison political opponents, violations of Constitutional protections. Absolute nightmare. And too much of GOP establishment is sleeping/dead/in a coma.","@MZHemingway Yes. I was listening to Clay & Buck & a guy called in to suggest McConnell is a reason Republicans aren't winning elections & they dismissed him, cut him off and hung up on him.

The Republicans party is NOT fighting for us. A huge part of that problem is McConnell in leadership.",SUPPORT,STATEMENT,PERSONAL,NORMAL
>TheLeoTerrell: Governor Kemp of Georgia: Stop this madness! Replace #FaniWills,"@TheLeoTerrell Can’t, it’s an elected position",OPPOSE,STATEMENT,GENERAL,NORMAL
>RockyMountViews: Do you drink coffee for the taste or for the kick?,@RockyMountViews Both,SUPPORT,STATEMENT,GENERAL,NORMAL
">kimguilfoyle: Let’s get one thing straight:

This isn’t about the facts or the law. 

This is about the swamp trying to stop Donald Trump in 2024. 

But it’s backfiring. 

Even in the face of full-fledged deep state corruption, MAGA is as strong as ever.","@kimguilfoyle This is about Donald Trump, King of the Swamp. And he's losing people left and right because they're tired of his temper tantrums, his refusal to accept facts, and his constant law breaking. That is the rule of law. And you're not helping him by enabling his bad behavior.",OPPOSE,STATEMENT,GENERAL,NORMAL
">RealMattCouch: Brian Kemp should IMMEDIATELY REMOVE DA Fani Willis for tampering with the grand jury in Georgia.   

His office number is  404-656-1776 

Give him a call Patriots!","@RealMattCouch The evidence is overwhelming, get over it",OPPOSE,COMMAND,GENERAL,NORMAL
">SRXracing: Big wreck in Turn 3. 

Deegan, Dillon, Andretti, Briscoe, Kanaan and Kenseth involved.

#CampingWorldSRX",@SRXracing not what i like to see… #CampingWorldSRX,OPPOSE,STATEMENT,PERSONAL,NORMAL
">RonnyJacksonTX: The American people WILL NOT accept another Biden campaign from the basement. If Biden is unable to campaign, he needs to DROP OUT now! We’re not going to take this again!",@RonnyJacksonTX Yup so should TRUMP,SUPPORT,COMMAND,GENERAL,NORMAL
">BarkJack_: There has always been tension between tourists & Maui locals.

But as tourism continues amid the devastation of wildfire, tensions are now at an all time high.",@BarkJack_ How can there be tourism with that fire? 🤔 but then some people simply don’t care.,OPPOSE,QUESTION,GENERAL,NORMAL
">willchamberlain: Fani Willis just indicted a bunch of lawyers for doing legal work

Real banana republic stuff","@willchamberlain You can’t conspire to illegally overturn the election in a state.

Being a lawyer doesn’t make it legal.",OPPOSE,STATEMENT,GENERAL,NORMAL
">benshapiro: Whatever you think of the Trump indictments, one thing is for certain: the glass has now been broken over and over again. Political opponents can be targeted by legal enemies. Running for office now carries the legal risk of going to jail -- on all sides.",@benshapiro try not lying to get elected.,OPPOSE,STATEMENT,GENERAL,NORMAL
>ThatEricAlper: Who is your favourite musician that died way too early?,@ThatEricAlper Prince,NEUTRAL,STATEMENT,GENERAL,NORMAL
">mmpadellan: Good morning and Happy Sunday to everyone who is ready to see Puerto Rico and Washington DC become our 51st and 52nd states.

It's time.",@mmpadellan I’m sure PR residents will be thrilled to have to pay Federal Taxes,OPPOSE,STATEMENT,GENERAL,NORMAL
">laurenboebert: There is a total crisis in Maui. 

3000 destroyed homes.

80 people dead.

Where’s Joe Biden?

On vacation of course.

There is no bottom for this president.","@laurenboebert Try and keep up with Joe, BoBo - he's waaaay ahead of you on this one (as he is with everything else).",OPPOSE,STATEMENT,GENERAL,NORMAL
>RadioFreeTom: Mia Love is on CNN and railing about “the Biden crime family” which proves that the brain worms have spread throughout every corner of the Republican Party,@RadioFreeTom Prognosis: moribund,SUPPORT,STATEMENT,GENERAL,NORMAL
>kylegriffin1: Reminder: There's still no evidence linking Hunter Biden's alleged wrongdoing to President Biden.,"@kylegriffin1 🤔Umm perhaps because they had the prosecutor’s wrists tied for years since he wasn’t  a special prosecutor,so much so he could only offer a deal which now ALL indicate was too good to true. 

Surprise-Garbage in garbage out.If u Don’t investigate leads,you find nothing-shocking",SUPPORT,STATEMENT,GENERAL,NORMAL
">GSmokesweed1: Well, it's officially noon hour and I desperately crave something to eat. Think I will make some hard boiled eggs, smushed with lots of salt and pepper and butter of course; liberal amounts of butter.  Yummm. Gotta go.🤣🤣🤣","@GSmokesweed1 I have never tried a hard boiled egg with butter, lots of salt and pepper but no butter. I will have to give that a try. I just finished another cheese sandwich on toast which is my main go to for quick food when I'm busy around the house.",NEUTRAL,STATEMENT,GENERAL,NORMAL
">ReproRights: 🔔WE ARE IN TEXAS STATE COURT RIGHT NOW representing 13 Texan women denied abortions despite serious pregnancy complications.

👉Follow this thread as we share live updates from Zurawski v. State of Texas, a lawsuit filed by the Center for Reproductive Rights.",@ReproRights Thanks for everything you're doing in my home state of Texas. I just posted a tweet about you. It got you 100 new followers in the last 15 minutes. And it's growing. Reach me in the DMs and let's figure out how to blow this up even more.,SUPPORT,STATEMENT,GENERAL,POLITE
>TheLeoTerrell: We have turned into a Banana Republic,"@TheLeoTerrell Waaaaaahhhhh..
Cope.
THIRTY unindicted co-conspirators!
(Basically…people who flipped).
Trump is going to get fitted for an orange jump suit that he’ll wear to his grave.",OPPOSE,STATEMENT,GENERAL,NORMAL
>perlmutations: Breaking…I’m taking my business to THREADS. Haters stay the fuck out.,@perlmutations It's safer in the shallow end.,SUPPORT,STATEMENT,GENERAL,NORMAL
">The_Trump_Train: All elementary, middle and high schools should BAN trans and drag shows.

YES or NO? 👇",@The_Trump_Train 💯,SUPPORT,REACTION,GENERAL,NORMAL
">RepBoebert: I was informed in this morning's SCIF meeting that the Cocaine Culprit investigation will be terminated with more than 500 potential perpetrators remaining.

We cannot allow this to happen.

The American people deserve to know who smuggled cocaine into the White House!","@RepBoebert Hey, #BoebyGirl, you do realize that those meetings are top secret for a reason, right? That you just committed a felony. Right?",OPPOSE,QUESTION,GENERAL,NORMAL
">POTUS: As residents of Hawai'i mourn the loss of life and devastation taking place across their beautiful home, we mourn with them.

Like I've said, not only our prayers are with those impacted – but every asset we have will be available to them.

Here's the latest:",@POTUS You spelled Ukraine wrong again comrade. #FJB #LetsGoBrandon,OPPOSE,STATEMENT,GENERAL,NORMAL
">TheRickyDavila: There needs to be an FBI investigation into Saudi Arabia paying billions of dollars to fraudster Steven Mnuchin, crime slumlord Jared Kushner and Crimestress Ivanka in exchange for intel as well as Jared’s involvement in the brutal murder of Jamal Khashoggi. That can’t go away.","@TheRickyDavila @CrunkDweetings @ABC

@ThisWeekABC

@CNN

@CNNSotu

@CBSNews

@FaceTheNation

@NBCNews

@MeetThePress

.@FoxNews

.@FoxNewsSunday

.@MSNBC

.@cnni

.@AP

.@Reuters

.@nytimes

.@whca

.@USATODAY

.@washingtonpost

.@latimes",NEUTRAL,STATEMENT,GENERAL,NORMAL
">MarshaBlackburn: In December of 2020, the Biden transition team and the Secret Service were tipped off about plans to interview Hunter Biden.

The Deep State will do anything to protect Democrats.","@MarshaBlackburn The Deep State is a figment of the imagination of shallow minds.

We need to hear the entire story. On surface is doesn’t sound good, but compared to Trump obstructing the Biden transition team, #January6th, and #DocsGate, it’s jaywalking.",OPPOSE,STATEMENT,GENERAL,NORMAL
>MonicaCrowley: You are witnessing the intentional destruction of America,@MonicaCrowley No we got rid of Him,OPPOSE,STATEMENT,PERSONAL,NORMAL
>dannykanell: Wow. Stunned. How would you describe that loss in one word?,@dannykanell Woke-choke.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">laurenboebert: There is a total crisis in Maui. 

3000 destroyed homes.

80 people dead.

Where’s Joe Biden?

On vacation of course.

There is no bottom for this president.","@laurenboebert He doesn't have to be in Maui, Lauren.

For help to already being sent.

Time to donate to Adam again, for every stupid tweet by Boebert.",OPPOSE,STATEMENT,GENERAL,NORMAL
">HeavenScent88: All MAGA Patriots Wanting New Followers or a Follow Back say ""MAGA""❤️",@HeavenScent88 Maga,SUPPORT,STATEMENT,GENERAL,NORMAL
">joelpollak: If it's a crime in Georgia to claim, falsely, that an election was ""stolen,"" how is @staceyabrams not in prison?",@joelpollak @staceyabrams Because Idiots are Republicans,NEUTRAL,STATEMENT,GENERAL,RUDE
>RyanAFournier: I’ve never seen someone fall from grace as hard as Ron DeSantis.,@RyanAFournier There's you... but nobody really card to start.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">davidfrum: 45 men have served as president. Some great leaders, others  mediocre. Only one sought by violence to overthrow the Constitution. That one now stands multiply indicted for his crimes. Some flinch from this truth. Others deny it. It's a lot to face. But anything else is a lie.","@davidfrum Community Notes on this are all like ""they were trying to save the constitution, here's a link to wiki""",SUPPORT,STATEMENT,GENERAL,NORMAL
>anatosaurus: You don't have to repeat right wing framing. They're the Taking Our Freedoms Caucus or the Fascism Caucus.,"@anatosaurus @bhaviklathia YES.

Like ""pro-life"" is actually ""anti-choice"", or in the real world, ""anti-abortion and anti-care-about-kids-once-they're-born.""

Thanks for the reminder – reframing lies to reality is key.",SUPPORT,STATEMENT,GENERAL,NORMAL
>KellDA: Anyone else tired of living in unprecedented times?,"@KellDA Our lives have become nothing more than BREAKING NEWS every damn minute for the last 8 years. I'm exhausted, but I will NEVER give up. If he gets locked up, we get a much needed break from him. Can you imagine?",SUPPORT,QUESTION,PERSONAL,NORMAL
">itsJeffTiedrich: teachers in Nazi Germany were fired for teaching the ""wrong"" ideas. teachers in Republican Florida can be fired for teaching the ""wrong"" ideas. any questions","@itsJeffTiedrich Yes.  Have you ever considered NOT being a big blubbering vagina, Jeff?",SUPPORT,QUESTION,GENERAL,NORMAL
">PeterSweden7: A family apartment building was BOMBED in Sweden tonight.

Two people were taken to hospital with injuries.

There has now been over 100 bombings in Sweden so far this year.

My country used to be one of the most peaceful on earth. Now it's a war zone.

WHATS GOING ON?",@PeterSweden7 You know. You just can’t/won’t say.,SUPPORT,STATEMENT,GENERAL,NORMAL
>greta: Need advice: I have about a 15 hour flight coming up …I want a riveting series to download since there is no wifi on the flight. What do you suggest?,@greta Rabbit Hole with Kiefer Sutherland,NEUTRAL,STATEMENT,GENERAL,NORMAL
">JoeBiden: If you’re a senior, you should know: 156 House Republicans signed onto an extreme MAGA budget that would end Medicare as we know it and raise prescription drug costs.",@JoeBiden @AngieFrost21 Keep fighting Mr President!!!,SUPPORT,STATEMENT,GENERAL,NORMAL
">ewarren: We need a government that’s on the side of students, not greedy loan servicers. A government that’s on the side of families, not giant corporations willing to burn the planet to a crisp if it helps turn a profit. A government that works for everyone, not just the rich & powerful.","@ewarren Go after those rich endowments along with federal aid.. Tax payers are sick & tired of your never ending hands in our pockets.
Tax the rich you say? Start with yourself & go from there..
Until then? Fuck off ya fake indian!",OPPOSE,COMMAND,GENERAL,NORMAL
>robreiner: Time to stop all the hand wringing. Joe Biden is having the most successful and accomplished Presidency in the last 60 years. And the choice could not be more clear. Do you want Democracy or Fascism?,@robreiner Spoken like a man who hasn't grocery shopped in 40 years.,OPPOSE,STATEMENT,GENERAL,NORMAL
">cmclymer: ""I don't feel any satisfaction. I feel great, profound sadness that we have a former president who's been indicted on so many charges...""

-- Hillary Clinton, just now w/ Maddow",@cmclymer Oh what should have been.....,NEUTRAL,STATEMENT,GENERAL,NORMAL
>GuntherEagleman: What kind of President doesn't go to Hawaii after the state burns down...,@GuntherEagleman The kind that doesn't contribute to the chaos for a photo opt.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">Lawrence: All Trump criminal defense lawyers have already failed. 

@TheLastWord 10pm",@Lawrence @TheLastWord And you nailed it.,SUPPORT,STATEMENT,GENERAL,NORMAL
">StephenKing: If you do the crime, you must be prepared to do the time.",@StephenKing But only if you lean right...,SUPPORT,STATEMENT,GENERAL,NORMAL
">MustangMan_TX: Evil people are always seeking to destroy that which is good in this world! 
It’s a pattern that never ends.",@MustangMan_TX They are little black holes sucking everything good and kind from every soul around them.,SUPPORT,STATEMENT,GENERAL,NORMAL
">pnjaban: Republicans dump billions of dollars on losing, political consultant hacks while for a few hundred thousand $$ the far left can put a woke DA into office and shred any law, rule, norm by both action and inaction.

When will we wake up? Maybe too late.","@pnjaban Never because Idiots are Republicans; Brawlers are Democrats.

Look at the type offenses that AG Barr sat on while the Manhattan and Fulton DAs are twisting laws to bring cases.",OPPOSE,STATEMENT,GENERAL,RUDE
">laurenboebert: Biden just told everyone that he cured cancer.

I feel like that would have at least gotten a press release.","@laurenboebert He did not say that. Maybe with a desperate need for a mental health check up , you could get your hearing checked, and take a remedial reading course. Maybe a eval on your comprehension skills too",NEUTRAL,STATEMENT,GENERAL,NORMAL
">laurenboebert: Most of our government agencies believe they operate without any accountability.

They think they are ABOVE the American people.

That’s not the case. They answer to US!","@laurenboebert U mean scotus
And republicans",NEUTRAL,STATEMENT,GENERAL,NORMAL
">benshapiro: Whatever you think of the Trump indictments, one thing is for certain: the glass has now been broken over and over again. Political opponents can be targeted by legal enemies. Running for office now carries the legal risk of going to jail -- on all sides.",@benshapiro I think Trump is a criminal and if any other politician is a criminal they should be prosecuted regardless of party.,SUPPORT,STATEMENT,GENERAL,NORMAL
>TomFitton: The question is why didn't Joe Biden register as a foreign agent?,@TomFitton Just posting such garbage indicates you are far right wing intent on destroying our democracy. Move to Russia!,OPPOSE,COMMAND,GENERAL,RUDE
>POTUS: We’re working to generate 100% of America’s electricity from clean power sources by 2035.,@POTUS You’re a fraud. You lie. You purger. You touch small children inappropriately,OPPOSE,STATEMENT,GENERAL,RUDE
>ksorbs: All I’m saying is that if any other President took a vacation during the Maui crisis the media would be up in torches.,"@ksorbs Except it’s not a vacation. I know you don’t understand how people go home on the weekends after a week of work because well, you don’t work",OPPOSE,STATEMENT,GENERAL,NORMAL
">WarlordDilley: Forgive my ignorance but I remember learning in government class in high school, that a President can't be charged for crimes committed while he was in office, unless he was first impeached and found guilty of the same crimes.

Wasn't President Trump found innocent?

Twice.","@WarlordDilley ""There's no way to rule innocent men. The only power government has is the power to crack down on criminals. When there aren't enough criminals, one makes them. One declares so many things to be a crime that it becomes impossible for men to live without breaking laws.
A. Rand, AS",SUPPORT,STATEMENT,GENERAL,NORMAL
>MayoIsSpicyy: The next few days are going to be devastating for Trump and his cronies.,@MayoIsSpicyy GOOD 👍,SUPPORT,REACTION,GENERAL,NORMAL
">SecBlinken: Today we are announcing deliveries of $200 million worth of arms and equipment for Ukraine. Air defense, anti-armor, and munitions will keep the Ukrainian armed forces in the fight to defend their country's sovereignty, territory, and people.",@SecBlinken Tell us about the military support for Maui,NEUTRAL,COMMAND,GENERAL,NORMAL
">MikeSington: Guy walks into a bank, says to the teller, “I have a gun in my pocket, give me all your money”. The line in quotes could be considered “free speech”, it’s also “aspirational”. But what the guy said is a crime, even if he didn’t get any money. MAGA Republicans, get it?",@MikeSington Where’s the gun?🙄 get it?,OPPOSE,QUESTION,GENERAL,NORMAL
">RepAndyBiggsAZ: Americans can no longer trust the Department of Justice to protect them.

It is politically weaponized against those who stand against the Left's radical agenda.

I stand with President Trump.","@RepAndyBiggsAZ Oh by the way, FORMER PRESIDENT TRUMP. In case you did not hear, he lost in 2020.",OPPOSE,STATEMENT,GENERAL,NORMAL
">JoJoFromJerz: 34 Republican Senators:
‘You must make David Weiss Special Counsel! That one act will restore our faith in you!’

Merrick Garland:
‘𝐼’𝑚 𝑚𝑎𝑘𝑖𝑛𝑔 𝐷𝑎𝑣𝑖𝑑 𝑊𝑒𝑖𝑠𝑠 𝑆𝑝𝑒𝑐𝑖𝑎𝑙 𝐶𝑜𝑢𝑛𝑠𝑒𝑙.’

The same 34 Senators:
‘How dare they make David Weiss Special Counsel?!’",@JoJoFromJerz Beauty but no brains,OPPOSE,STATEMENT,GENERAL,NORMAL
">SummerForPA: I don't know who needs to hear this, but 2-year terms are incredibly wasteful and counterproductive... but it benefits the wealthy and powerful, so it'll probably never change.",@SummerForPA Paying you a Congressional salary is incredibly wasteful and counterproductive,SUPPORT,STATEMENT,GENERAL,NORMAL
">KamalaHarris: Assault weapons are weapons of war that were designed to kill a lot of people quickly. 

They have no place on the streets of civil society.

Congress must pass an assault weapons ban.",@KamalaHarris No one needs 30 rounds to kill a deer,SUPPORT,STATEMENT,GENERAL,NORMAL
">marklevinshow: These reckless Democrat prosecutors have ensured that the vast majority of Republicans, tens of millions of Americans, will not accept a Biden/Democrat election “victory” in 2024.",@marklevinshow Asswipe,OPPOSE,STATEMENT,GENERAL,RUDE
">POTUS: We’ve restored protections to three national monuments gutted by my predecessor and designated new national monuments as well.
 
Folks, these are investments in our planet, in our people, and in America itself.",@POTUS Are we going to talk about all the monuments attacked by your BLM / ANTIFA arm?,NEUTRAL,QUESTION,PERSONAL,NORMAL
">HawaiiDelilah: If I ever get a dog again, I am going to call him RICO.  On principle.",@HawaiiDelilah Love it!!! Hahahaha! 😂😂😂,SUPPORT,REACTION,GENERAL,NORMAL
">NickAdamsinUSA: I have more rizz than you.

No, I won’t apologize for it.",@NickAdamsinUSA It's spelled... PIZZ!,NEUTRAL,STATEMENT,GENERAL,NORMAL
">PalmerReport: Three possible reasons why Lindsey Graham wasn't indicted:

1) He flipped on the others

2) There wasn't strong enough evidence against him to get a conviction

3) There are more charges coming

Take your pick.",@PalmerReport He flipped,NEUTRAL,STATEMENT,GENERAL,NORMAL
">kaitlancollins: Fulton County Judge Robert McBurney, the presiding judge overseeing the grand jury that’s currently hearing the Trump case, told reporters in his courtroom that he’s expecting to stay for about one more hour tonight. The grand jury is still meeting.",@kaitlancollins @RpsAgainstTrump He is being very considerate. Good look for Fulton County.,SUPPORT,STATEMENT,GENERAL,NORMAL
">samstein: Worth recalling, in light of the GA lawsuit, that both Kelly Loeffler and David Perdue (siting Senators at the time) called on Brad  Raffensperger to resign",@samstein 👍,SUPPORT,REACTION,GENERAL,NORMAL
">AdamSchefter: Four-time Pro-Bowl LB Justin Houston reached agreement on a one-year deal with the Carolina Panthers, per source.",@AdamSchefter Who,NEUTRAL,QUESTION,GENERAL,NORMAL
">itsJeffTiedrich: what kind of shithole party defends a guy who threatens to assassinate politicians and pulls a gun on FBI agents. not a good look, you silly dipshits",@itsJeffTiedrich Got proof? Because I haven't seen anyone defending him. Just people wondering why no one was arrested for making threats against Trump.,OPPOSE,QUESTION,GENERAL,NORMAL
">BeingJWood: We are not privy to all the evidence prosecution has against Trump.

As mountains of incriminating evidence is made public, will Trump’s support suffer among the MAGA faithful?","@BeingJWood I think it’ll suffer for some, once we get to trial it’ll get worse. I think many minds start singing a different tune MSM for one, I feel many are taking it more seriously that 18 people were indicted with Trump",OPPOSE,STATEMENT,GENERAL,NORMAL
">BlackKnight10k: Thanks to Joe Biden, Trump lost the election, lost his job, lost his house, and lost his twitter account. Now he's about to lose his freedom.",@BlackKnight10k @rkrosalyn31 I’m loving it.,SUPPORT,STATEMENT,GENERAL,NORMAL
">BandyXLee1: 4 indictments, 91 charges, 2 impeachments, 1 act of sedition, and threatening civil war.  26 women alleging sexual assault.  1.13 million Americans dead from Covid.  And he is the front runner of the Republican Party.  This is why I call it a collective psychosis.",@BandyXLee1 Is that bad? That seems bad.,OPPOSE,QUESTION,GENERAL,NORMAL
>FROkristin: I can’t imagine living my life in the constant turmoil and chaos that the defendant does. It’s all self inflicted too. Just for attention. He could actually be wealthily now but needing more attention led to more corruption. That and being a fucking moron.,@FROkristin It has to be a nightmare.,SUPPORT,STATEMENT,GENERAL,NORMAL
">MarkWarner: The racial wealth gap is holding back Black families across America. Smart solutions can help us level the playing field.

Today, I’m reintroducing legislation to help first-time, first-gen homebuyers build equity and wealth faster.","@MarkWarner Democrats, using black families as a political football just like Malcom X said decades ago",SUPPORT,STATEMENT,GENERAL,NORMAL
">itsJeffTiedrich: for those of you keeping score at home— 
Hillary Clinton: 0 indictments 
Joe Biden: 0 indictments 
Hunter Biden: 0 indictments 
Dr. Fauci: 0 indictments 
Barack Obama: 0 indictments  

Donald Trump: 3 INDICTMENTS AND COUNTING",@itsJeffTiedrich Yup.  That’s the problem,OPPOSE,STATEMENT,GENERAL,NORMAL
">laurenboebert: There is a total crisis in Maui. 

3000 destroyed homes.

80 people dead.

Where’s Joe Biden?

On vacation of course.

There is no bottom for this president.",@laurenboebert What do you want him to do? Throw them paper towels?,OPPOSE,QUESTION,GENERAL,NORMAL
>robreiner: Time to stop all the hand wringing. Joe Biden is having the most successful and accomplished Presidency in the last 60 years. And the choice could not be more clear. Do you want Democracy or Fascism?,@robreiner 😂😂😂😂😳,OPPOSE,REACTION,GENERAL,NORMAL
">RepMTG: We now have evidence proving the Biden’s got paid $20 MILLION DOLLARS!!

New bank statements show money coming from Russia, Kazakhstan, and of course Ukraine!! 

Biden Inc does not sell a product or service but instead raked in tens of millions selling Joe Biden’s power!",@RepMTG You are such a f****** liar shut your mouth go away.,OPPOSE,STATEMENT,GENERAL,RUDE
>stclairashley: I don’t know how but I ended up at a libertarian convention,@stclairashley I’m not even at a libertarian convention what did you do.,OPPOSE,STATEMENT,PERSONAL,NORMAL
">RonnyJacksonTX: I WILL NOT vote for any  continuing resolution that doesn’t smash Biden’s DOJ into a million pieces. The DOJ has very rapidly become the enemy of the American people, and if nothing is done soon, our rights will be GONE. We MUST defund it!!","@RonnyJacksonTX Tick tock pos

Your indictment is coming",SUPPORT,STATEMENT,GENERAL,NORMAL
>AbrahamHamadeh: It’s simple. Our country will not survive this continuous assault on the rule of law. Any suggestion that the party needs to abandon Trump to make it all go away would only reward the Democrats destructive behavior. It’s time for Republicans to unite behind President Trump.,"@AbrahamHamadeh I know right, hopefully our AG @krismayes with bring charges against our Fake Electors. 
Trump and his crew are an assault on our rule of law. 
I have never been happier that you lost. 
You don't seem to understand the rule of law.",OPPOSE,STATEMENT,GENERAL,NORMAL
">willchamberlain: Fani Willis just indicted a bunch of lawyers for doing legal work

Real banana republic stuff","@willchamberlain @JackPosobiec Fani Willis is pulling a Jussie Smollett.

By Fani inventing these fake crimes she taints future investigations into real crimes.

People will rightfully be suspicious.",OPPOSE,STATEMENT,GENERAL,NORMAL
>mehdirhasan: My view is that just what Trump did to Ruby Freeman and Shaye Moss alone should make him unfit for office and unelectable for life.,@mehdirhasan @gtconway3d @medhirhasan  You are so right.,SUPPORT,STATEMENT,GENERAL,NORMAL
">courtneyknill: you guys say single people shouldn’t give marriage advice, but the divorce rate in the US is over 50% right now, so maybe couples should try doing some things differently 😂",@courtneyknill Facts,NEUTRAL,STATEMENT,GENERAL,NORMAL
>StephenM: A Republican DA could indict both Biden and Mayorkas for human trafficking.,@StephenM @joelpollak Could but won't. A GOP DOJ sat on criminal referrals from an OBAMA-APPOINTED INSPECTOR GENERAL!,OPPOSE,STATEMENT,GENERAL,NORMAL
">charliekirk11: The left’s plan is to have Trump in a prison cell by Labor Day 2024

Unable to campaign, debate, or run for office.","@charliekirk11 In contrary, that rapist & previously-failed candidate is only running to avoid prison.

Next! 😎",OPPOSE,STATEMENT,GENERAL,NORMAL
